DATE_HOUR,FROM_STOP_NAME,TOTAL_PASSENGER
2024-06-30 15,Nellimoodu Junction,9
2024-06-30 15,Kuzhivila,78
2024-06-30 15,Ponnara Bridge,6
2024-06-30 15,Pothencode,9
2024-06-30 15,Sreekaryam Junction,17
2024-06-30 15,Jagathy,1
2024-06-30 15,Thoongampara,1
2024-06-30 15,Chanthavila,1
2024-06-30 15,Pettah Pallimukku Junction,2
2024-06-30 15,Puliyarakkonam,3
2024-06-30 15,Alamcode,3
2024-06-30 15,Palayam Bakery Junction,2
2024-06-30 15,Thozhukkal,3
2024-06-30 15,Kovalam Junction,20
2024-06-30 15,Peroorkada,5
2024-06-30 15,Peroorkada Junction,2
2024-06-30 15,Vandannur,1
2024-06-30 15,Charummoodu,1
2024-06-30 15,Maruthankuzhi,1
2024-06-30 15,Beema Pally,3
2024-06-30 15,Kiliyoor,4
2024-06-30 15,Kseb Chakkai,17
2024-06-30 15,6th Stone Vazhayila,1
2024-06-30 15,Palukal,1
2024-06-30 15,Sree Karyam,3
2024-06-30 15,Valiyavila,1
2024-06-30 15,Postoffice Junction Parassala,17
2024-06-30 15,Sn Nagar,5
2024-06-30 15,Thiruvallam,16
2024-06-30 15,Vellaikadavu,4
2024-06-30 15,Vettukadu,9
2024-06-30 15,Peringammala,1
2024-06-30 15,Oorambu,22
2024-06-30 15,Kallumoodu,2
2024-06-30 15,Kanjiramkulam,10
2024-06-30 15,East Mukkola,3
2024-06-30 15,Rotary,1
2024-06-30 15,Post Office Manivila,2
2024-06-30 15,Panachamoodu,1
2024-06-30 15,16th Mile,1
2024-06-30 15,Chenkottukonam,4
2024-06-30 15,Chenthitta,1
2024-06-30 15,Dhanuvachapuram Iti,2
2024-06-30 14,Karakulam Palam,4
2024-06-30 14,Thumpod,3
2024-06-30 14,Ponnara School,13
2024-06-30 14,Avanavanchery,3
2024-06-30 14,East South Fort Bus Stand,332
2024-06-30 14,Kuttiyani,1
2024-06-30 14,Nemom,15
2024-06-30 14,Sreekaryam Junction,46
2024-06-30 14,Kamaleswaram,20
2024-06-30 14,Mullassery,2
2024-06-30 14,East Fort North Bus Stand Pf 2,26
2024-06-30 14,Poovachal,11
2024-06-30 14,Veli Lake,27
2024-06-30 14,Irumpa,1
2024-06-30 14,Santhivila Junction,2
2024-06-30 14,Kumarichantha,10
2024-06-30 14,Vamanapuram Phc,2
2024-06-30 14,Chappath,14
2024-06-30 14,Vizhinjam Bus Stand,24
2024-06-30 14,Valiyathura Shangumugam,13
2024-06-30 14,Vellayambalam,50
2024-06-30 14,16th Mile,6
2024-06-30 14,Karyavattom University,5
2024-06-30 14,Crpf Gate,1
2024-06-30 14,Pattoor Junction,47
2024-06-30 14,Kalliyodu,3
2024-06-30 14,Uchakkada,13
2024-06-30 14,Sree Karyam,22
2024-06-30 14,Peroorkada Junction,16
2024-06-30 14,Kadakkal,3
2024-06-30 14,Aryanadu,27
2024-06-30 14,Mannanthala,15
2024-06-30 14,Kattayikonam,12
2024-06-30 14,Mamam,7
2024-06-30 14,East Mukkola,4
2024-06-30 14,Punchakkari,22
2024-06-30 14,Kazhakkoottam,200
2024-06-30 14,Venjarammoodu,13
2024-06-30 14,Kattakkada,157
2024-06-30 14,Alamcode,14
2024-06-30 14,Perumathura,5
2024-06-30 14,Kallara Bus Stand,7
2024-06-30 14,Ambalathara,7
2024-06-30 14,Vellaikadavu,8
2024-06-30 14,Chempazhanthy,12
2024-06-30 14,Neyyattinkara Bus Station,100
2024-06-30 14,Veli Church,4
2024-06-30 14,Pulinkudy,4
2024-06-30 14,Kachani Junction,7
2024-06-30 14,Statue Sbi,175
2024-06-30 14,Cheriyakolla,8
2024-06-30 14,Pattoor,13
2024-06-30 14,Maruthankuzhi,15
2024-06-30 14,Velavoor,2
2024-06-30 14,Mithrumala,2
2024-06-30 14,Aryanad,1
2024-06-30 14,Vedivechan Kovil,14
2024-06-30 14,Pamamcode,4
2024-06-30 14,Valiyavila,15
2024-06-30 14,Kseb Chakkai,28
2024-06-30 14,Mangalapuram,24
2024-06-30 14,Keezhayikonam,2
2024-06-30 14,Pappanamcode,32
2024-06-30 14,Civil Station Junction Kudappanakunnu,4
2024-06-30 14,Mukkola,6
2024-06-30 14,Contonment Gate,10
2024-06-30 14,Mangalathukonam,2
2024-06-30 14,Koppam,7
2024-06-30 14,Seematty,2
2024-06-30 14,Panachamoodu,17
2024-06-30 14,Thozhukkal,12
2024-06-30 14,Titanium,3
2024-06-30 14,Killy,2
2024-06-30 14,Karakonam,7
2024-06-30 14,Cheruvallimukku,2
2024-06-30 14,Chanthavila,3
2024-06-30 14,Kadinamkulam,1
2024-06-30 14,Chenkottukonam,8
2024-06-30 14,Peyad,1
2024-06-30 14,Karyam,1
2024-06-30 14,Poonthura Junction,27
2024-06-30 14,Puthukurichy Church,3
2024-06-30 14,Thampanoor Ktdc Chaithram,24
2024-06-30 14,Valiyashala Mahadeva Temple,3
2024-06-30 14,Kottamukal,2
2024-06-30 14,Dpi Junction,8
2024-06-30 14,Beema Pally,11
2024-06-30 14,Kovalam Junction,19
2024-06-30 14,Charummoodu,3
2024-06-30 14,Vanchiyoor,1
2024-06-30 14,Nilamamoodu,22
2024-06-30 14,Vazhamuttom,2
2024-06-30 14,Vettuthura,2
2024-06-30 14,Parippally,1
2024-06-30 14,Vettukadu,24
2024-06-30 14,Panangodu Junction,8
2024-06-30 14,Pozhiyoor Junction,2
2024-06-30 14,Mukkolakkal Temple,1
2024-06-30 14,Kattadimukku,3
2024-06-30 14,Kumarapuram,30
2024-06-30 14,Dhanuvachapuram Iti,2
2024-06-30 14,Perumkuzhi,3
2024-06-30 14,Mangalathukonam Csi,5
2024-06-30 14,Pakaloor,1
2024-06-30 14,Thoongampara,7
2024-06-30 14,Irinchayam Steps,2
2024-06-30 14,Ooruttambalam,7
2024-06-30 14,Pattom Sut Office,91
2024-06-30 14,Palukal,5
2024-06-30 14,Konchira,1
2024-06-30 14,Shangumukham Beach,50
2024-06-30 14,Neeramankara,15
2024-06-30 14,Pmg,2
2024-06-30 14,Poovar Junction,26
2024-06-30 14,Pirappancode,13
2024-06-30 14,Murinjapalam,46
2024-06-30 14,Poundukadavu,1
2024-06-30 14,Balaramapuram,50
2024-06-30 14,East Fort North Bus Stand,377
2024-06-30 14,Santhivila,7
2024-06-30 14,Ulloor,61
2024-06-30 14,Kanjiramkulam,20
2024-06-30 14,Karette,28
2024-06-30 14,Thampanoor Main Bus Stand,293
2024-06-30 14,Karamana Junction,45
2024-06-30 14,Pangappara,4
2024-06-30 14,Kaniyapuram,28
2024-06-30 14,Venganoor,21
2024-06-30 14,East Fort Bus Stand,133
2024-06-30 14,Chempoor Junction,6
2024-06-30 14,Kuzhivila,107
2024-06-30 14,Nellimoodu Junction,18
2024-06-30 14,World Market,207
2024-06-30 14,East Fort South Bus Stand,67
2024-06-30 14,Venjarammoodu Depot,76
2024-06-30 14,Seemamulamukku,1
2024-06-30 14,Njadoorkonam,7
2024-06-30 14,Thannimoodu,17
2024-06-30 14,Pothencode,123
2024-06-30 14,Vembayam,55
2024-06-30 14,Koithoorkonam,5
2024-06-30 14,Vattappara,18
2024-06-30 14,Vellarada Ksrtc Depot,13
2024-06-30 14,Kakkamoola,1
2024-06-30 14,Rotary,15
2024-06-30 14,Nedumangad Bus Stand,148
2024-06-30 14,Shangumukham,57
2024-06-30 14,28th Mile,2
2024-06-30 14,Kaliyakkavilai Bus Stand,11
2024-06-30 14,Postoffice Junction Parassala,21
2024-06-30 14,Kanakkuzhi,1
2024-06-30 14,Vayalikada,6
2024-06-30 14,Thekkada Junction,4
2024-06-30 14,Chakai,64
2024-06-30 14,Kuttichal,11
2024-06-30 14,Paraniyam,5
2024-06-30 14,Sainik School,2
2024-06-30 14,Kerala University,2
2024-06-30 14,Thiruvallam,32
2024-06-30 14,Palayam Fine Arts College,41
2024-06-30 14,Nettirachira,4
2024-06-30 14,Vellanchira,1
2024-06-30 14,Pallichal Junction,19
2024-06-30 14,Chirayinkeezhu Bus Stand,10
2024-06-30 14,Vandithadam,10
2024-06-30 14,Peroorkada,13
2024-06-30 14,Medical College Bus Stand,19
2024-06-30 14,Pachalloor School,8
2024-06-30 14,Easwara Vilasam Cotton Hill School,5
2024-06-30 14,Oorambu,2
2024-06-30 14,Statue Bsnl,29
2024-06-30 14,Sn Nagar,38
2024-06-30 14,Attingal Bus Station,45
2024-06-30 14,Valiyathura,27
2024-06-30 14,Chenkavila Junction,1
2024-06-30 14,Punnakkamugal,1
2024-06-30 14,Mudavanmugal,6
2024-06-30 14,Poovar Bus Stand,7
2024-06-30 14,Jagathy,12
2024-06-30 14,Chathannoor,2
2024-06-30 14,Ookkodu,14
2024-06-30 14,Kochupally,7
2024-06-30 14,Maranalloor,22
2024-06-30 14,Vandannur,5
2024-06-30 14,Karakulam Post,1
2024-06-30 14,Puthiyathura Junction,10
2024-06-30 14,Vellayambalam Elankim Devi,5
2024-06-30 14,Kowdiar,4
2024-06-30 14,Nalanchira Main Gate,17
2024-06-30 14,Eliyavoor,1
2024-06-30 14,Kuttimoodu,3
2024-06-30 14,Kesavadasapuram,1
2024-06-30 14,Azhikode,2
2024-06-30 14,Valliya Kattayikkal,1
2024-06-30 14,6th Stone Vazhayila,4
2024-06-30 14,Cheru Vettukadu,3
2024-06-30 14,Pezhummoodu Junction,3
2024-06-30 14,Nettayam,4
2024-06-30 14,Kanjirampara,17
2024-06-30 14,Venkavila Junction,1
2024-06-30 14,Pappanamcode Ksrtc Depot,5
2024-06-30 14,Kiliyoor,2
2024-06-30 14,Mottamoodu,1
2024-06-30 14,Chemmarathumukku,1
2024-06-30 14,Kulathoor,4
2024-06-30 14,Military Hospital Pangodu,2
2024-06-30 14,Chellamagalam Panjayath,8
2024-06-30 14,Vavara Ambalam,2
2024-06-30 14,Mettukada,3
2024-06-30 14,Poovanathin Moodu,4
2024-06-30 14,Murukkumpuzha,7
2024-06-30 14,Malayinkeezh,9
2024-06-30 14,10th Stone Patham Kallu,2
2024-06-30 14,Palayam Saphalyam,5
2024-06-30 14,Agricultural College Poonkulam,3
2024-06-30 14,Madhupalam,1
2024-06-30 14,Radio Station Monvila,1
2024-06-30 14,Post Office Manivila,1
2024-06-30 14,Pettah Pallimukku Junction,2
2024-06-30 14,Kadakkavoor,1
2024-06-30 14,Parassala,9
2024-06-30 14,Aiyroopara,4
2024-06-30 13,Kaniyapuram,62
2024-06-30 13,Easwara Vilasam Cotton Hill School,17
2024-06-30 13,Kaliyakkavilai Bus Stand,7
2024-06-30 13,Chanthavila,20
2024-06-30 13,Melathumele,12
2024-06-30 13,Dhanuvachapuram Iti,7
2024-06-30 13,Karamana Prs,4
2024-06-30 13,Mottamoodu,19
2024-06-30 13,Kerala University,36
2024-06-30 13,Mukkola,13
2024-06-30 13,Nagaroor,3
2024-06-30 13,Mudavanmugal,5
2024-06-30 13,Kamaleswaram,44
2024-06-30 13,Pmg,20
2024-06-30 13,Poonthura Junction,38
2024-06-30 13,Irumpa,2
2024-06-30 13,Andoorkonam Hospital,2
2024-06-30 13,World Market,263
2024-06-30 13,Vizhinjam Junction,6
2024-06-30 13,Pulimood,18
2024-06-30 13,Vellarada Ksrtc Depot,17
2024-06-30 13,Irinchayam Steps,23
2024-06-30 13,Karyavattom University,17
2024-06-30 13,Vavara Ambalam,1
2024-06-30 13,Neyyattinkara Bus Station,134
2024-06-30 13,Nettayam,44
2024-06-30 13,Kattakkada,181
2024-06-30 13,Valiyathura,29
2024-06-30 13,Kachani Junction,15
2024-06-30 13,Koottapu,7
2024-06-30 13,Anchamkallu,15
2024-06-30 13,Ks Road Kovalam Junction,11
2024-06-30 13,Parippally,24
2024-06-30 13,10th Stone Patham Kallu,2
2024-06-30 13,Pongumoodu,18
2024-06-30 13,Puthanpalam,10
2024-06-30 13,Shangumukham Beach,93
2024-06-30 13,Balaramapuram,83
2024-06-30 13,Olathanni Junction,9
2024-06-30 13,Pallichal Junction,20
2024-06-30 13,Puthiyathura Junction,7
2024-06-30 13,Poovar Bus Stand,144
2024-06-30 13,Thannimoodu,15
2024-06-30 13,Museum Public Office Complex,9
2024-06-30 13,Valiyarathala,22
2024-06-30 13,Kuzhivila,207
2024-06-30 13,Pachalloor,2
2024-06-30 13,16th Mile,24
2024-06-30 13,Kalliyoor Grama Panchayath Office,7
2024-06-30 13,Beemapalli Back,4
2024-06-30 13,Kalluvathukkal,3
2024-06-30 13,Aruvikkara,15
2024-06-30 13,Pattom Lic,2
2024-06-30 13,Ponnara School,1
2024-06-30 13,Murukkumpuzha,16
2024-06-30 13,Mylamoodu,7
2024-06-30 13,Kattadimukku,5
2024-06-30 13,Chakai,99
2024-06-30 13,Anayara,7
2024-06-30 13,Ooruttambalam,9
2024-06-30 13,Radio Station Monvila,12
2024-06-30 13,Pothencode,284
2024-06-30 13,Valiyavila,37
2024-06-30 13,Nedumangad Bus Stand,469
2024-06-30 13,Chellamagalam Panjayath,21
2024-06-30 13,Vizhinjam Bus Stand,35
2024-06-30 13,Karamana Junction,85
2024-06-30 13,Vencode Up,2
2024-06-30 13,Vettinadu,5
2024-06-30 13,Velavoor,11
2024-06-30 13,Chittazha,9
2024-06-30 13,Alamcode,19
2024-06-30 13,Kumarapuram,18
2024-06-30 13,Ookkodu,1
2024-06-30 13,Pullampara Palam,13
2024-06-30 13,Rotary,21
2024-06-30 13,East Fort South Bus Stand,164
2024-06-30 13,Avanavanchery,2
2024-06-30 13,Peroorkada Junction,36
2024-06-30 13,Kochupally,6
2024-06-30 13,Kottarakkari,1
2024-06-30 13,Muthuvila,10
2024-06-30 13,Karakonam,43
2024-06-30 13,Venkavila Junction,10
2024-06-30 13,Mamam,13
2024-06-30 13,Vellaikadavu,7
2024-06-30 13,Scooter Factory,1
2024-06-30 13,Santhivila Junction,2
2024-06-30 13,Kadinamkulam,17
2024-06-30 13,Plavila,4
2024-06-30 13,Agricultural College Poonkulam,7
2024-06-30 13,Sreekaryam Junction,74
2024-06-30 13,Kovalam Beach,93
2024-06-30 13,Maruthankuzhi,24
2024-06-30 13,Paippinmoodu,16
2024-06-30 13,Aryanadu,77
2024-06-30 13,Kanjirampara,97
2024-06-30 13,Neeramankara,6
2024-06-30 13,Sainik School,17
2024-06-30 13,Thoongampara,3
2024-06-30 13,Chathanoor Ksrtc Depot,2
2024-06-30 13,Rcc Thiruvananthapuram,1
2024-06-30 13,Azhikode,18
2024-06-30 13,Palayam Fine Arts College,27
2024-06-30 13,Kollamkonam,2
2024-06-30 13,Manacaud,1
2024-06-30 13,Kulathoor,20
2024-06-30 13,Kattayikonam,20
2024-06-30 13,Statue Sbi,247
2024-06-30 13,Pettah Pallimukku Junction,1
2024-06-30 13,Korani Junction,12
2024-06-30 13,Keezhayikonam,13
2024-06-30 13,Vazhamuttom,14
2024-06-30 13,Channakara,3
2024-06-30 13,Venganoor,32
2024-06-30 13,Vazhavilapaalam,10
2024-06-30 13,Kallumoodu,27
2024-06-30 13,Mangalapuram East,62
2024-06-30 13,St Andrews,9
2024-06-30 13,Kuttichal,21
2024-06-30 13,Eettimmodu,3
2024-06-30 13,Nalanchira Main Gate,23
2024-06-30 13,Nalamkallu,1
2024-06-30 13,Santhivila,1
2024-06-30 13,Karette,28
2024-06-30 13,Puthukurichy Church,5
2024-06-30 13,Chappath,3
2024-06-30 13,Kanjiramkulam,56
2024-06-30 13,Thattathumala,3
2024-06-30 13,Ksrtc Bus Stand Kilimanoor,9
2024-06-30 13,Moozhi,4
2024-06-30 13,Kunnapuzha,2
2024-06-30 13,Thirumala,8
2024-06-30 13,Oorambu,4
2024-06-30 13,Padinjattumukku,3
2024-06-30 13,Cherappally,1
2024-06-30 13,Thampanoor Ktdc Chaithram,9
2024-06-30 13,Parassala,2
2024-06-30 13,Cheru Vettukadu,3
2024-06-30 13,Konchira,4
2024-06-30 13,Chenkavila Junction,2
2024-06-30 13,Kuravankuzhi,1
2024-06-30 13,J T S Mancha,1
2024-06-30 13,Jts Mancha,1
2024-06-30 13,Kazhakkoottam Railway Station,52
2024-06-30 13,Radio Park Junction,4
2024-06-30 13,Koithoorkonam,12
2024-06-30 13,Kuttiyani,2
2024-06-30 13,Perumkuzhi,1
2024-06-30 13,Kanjirampara Junction,3
2024-06-30 13,Kallambalam,3
2024-06-30 13,Poundukadavu,2
2024-06-30 13,Vellanchira,10
2024-06-30 13,Thumpod,1
2024-06-30 13,Cheruvallimukku,1
2024-06-30 13,Pattoor Junction,105
2024-06-30 13,Panachamoodu,20
2024-06-30 13,Statue Bsnl,74
2024-06-30 13,Vandannur,3
2024-06-30 13,Kuttimoodu,13
2024-06-30 13,Kudappanakunnu Bank Junction,2
2024-06-30 13,Kseb Chakkai,34
2024-06-30 13,Edapazhanji Pangode Fish Market,1
2024-06-30 13,Vettuthura,4
2024-06-30 13,Kavadithalakkal,3
2024-06-30 13,Santhwana Junction,2
2024-06-30 13,Peroorkada Depot,67
2024-06-30 13,East Fort South Stand 2,124
2024-06-30 13,Karikkakom Temple,5
2024-06-30 13,Vellayambalam,54
2024-06-30 13,Nilamamoodu,35
2024-06-30 13,Valiyashala Mahadeva Temple,6
2024-06-30 13,Chempoor Junction,13
2024-06-30 13,Kodunganoor,1
2024-06-30 13,Vazhuthacaud Womens College,1
2024-06-30 13,Vayalikada,14
2024-06-30 13,Charummoodu,15
2024-06-30 13,Vattappara,26
2024-06-30 13,Poovanathin Moodu,1
2024-06-30 13,Venjarammoodu Depot,221
2024-06-30 13,Mettukada,36
2024-06-30 13,Seematty,5
2024-06-30 13,Paraniyam,22
2024-06-30 13,Chenkottukonam,18
2024-06-30 13,Karakulam Palam,13
2024-06-30 13,Mannaram,4
2024-06-30 13,Vanchiyoor,2
2024-06-30 13,Maranalloor,6
2024-06-30 13,Valiyathura Shangumugam,11
2024-06-30 13,East Fort North Bus Stand,663
2024-06-30 13,Peyad,9
2024-06-30 13,Peroorkada,15
2024-06-30 13,Puliyarakkonam,11
2024-06-30 13,Punchakkari,8
2024-06-30 13,Cheriyakolla,19
2024-06-30 13,Kiliyoor,27
2024-06-30 13,Vedivechan Kovil,25
2024-06-30 13,Eliyavoor,8
2024-06-30 13,Kulasekharam,6
2024-06-30 13,Titanium,5
2024-06-30 13,Arumanior Junction,7
2024-06-30 13,Pangappara,37
2024-06-30 13,Kalliyodu,10
2024-06-30 13,Chemparathumukku,2
2024-06-30 13,Kovalam Junction,7
2024-06-30 13,Kilimanoor,14
2024-06-30 13,6th Stone Vazhayila,9
2024-06-30 13,Ulloor,149
2024-06-30 13,Palukal,2
2024-06-30 13,Nehru Junction,2
2024-06-30 13,Kumarichantha,11
2024-06-30 13,East South Fort Bus Stand,236
2024-06-30 13,Thrikkannapuram,3
2024-06-30 13,Nettirachira,4
2024-06-30 13,Chempazhanthy,4
2024-06-30 13,Pattom Sut Office,116
2024-06-30 13,Dpi Junction,7
2024-06-30 13,Nemom,73
2024-06-30 13,Fathima Thumba,1
2024-06-30 13,Panangodu Junction,18
2024-06-30 13,Pattoor,15
2024-06-30 13,Plamoodu,2
2024-06-30 13,Thiruvallam,52
2024-06-30 13,Survey Directorate,1
2024-06-30 13,Nellimoodu Junction,32
2024-06-30 13,Kuzhivettanvila,3
2024-06-30 13,Pamamcode,3
2024-06-30 13,Thampanoor Main Bus Stand,500
2024-06-30 13,Pirappancode,13
2024-06-30 13,Athiyanoor,2
2024-06-30 13,Malayinkeezh,24
2024-06-30 13,Nilamel,8
2024-06-30 13,Kowdiar,10
2024-06-30 13,Chenthitta,3
2024-06-30 13,Koliyacode,16
2024-06-30 13,Vencode,6
2024-06-30 13,Post Office Manivila,14
2024-06-30 13,Pulinkudy,3
2024-06-30 13,Killipalam,2
2024-06-30 13,Malayam,3
2024-06-30 13,Jagathy,19
2024-06-30 13,Perumathura,11
2024-06-30 13,Shangumukham,88
2024-06-30 13,Thozhukkal,9
2024-06-30 13,Meenakal,1
2024-06-30 13,Mukkolakkal Temple,2
2024-06-30 13,Madhupalam,2
2024-06-30 13,Pappanamcode,75
2024-06-30 13,Kottiyam,19
2024-06-30 13,Vellayambalam Elankim Devi,29
2024-06-30 13,Mullassery,1
2024-06-30 13,Nannattukavu,2
2024-06-30 13,Pazhayakada Junction,26
2024-06-30 13,Kazhakkoottam,346
2024-06-30 13,Aiyroopara,18
2024-06-30 13,Veli Lake,55
2024-06-30 13,Njadoorkonam,20
2024-06-30 13,Sree Karyam,26
2024-06-30 13,Crpf Gate,12
2024-06-30 13,Poovachal,18
2024-06-30 13,Koppam,9
2024-06-30 13,Mangalapuram,30
2024-06-30 13,Kuravankonam,2
2024-06-30 13,Vembayam,81
2024-06-30 13,Thekkada Junction,5
2024-06-30 13,Veli Church,5
2024-06-30 13,Sn Nagar,98
2024-06-30 13,Pachalloor School,15
2024-06-30 13,Vettukadu,47
2024-06-30 13,Valliya Kattayikkal,8
2024-06-30 13,Vandithadam,34
2024-06-30 13,Kallara Bus Stand,55
2024-06-30 13,Chirayinkeezhu Bus Stand,5
2024-06-30 13,Pezhummoodu Junction,17
2024-06-30 13,Attingal Bus Station,98
2024-06-30 13,Medical College Bus Stand,17
2024-06-30 13,Mannanthala,25
2024-06-30 13,Kavinpuram,2
2024-06-30 13,East Fort Bus Stand,163
2024-06-30 13,Karyavattom,15
2024-06-30 13,Murinjapalam,26
2024-06-30 13,Ambalathara,4
2024-06-30 13,Vavarambalam,8
2024-06-30 13,Panagod,4
2024-06-30 13,Statue,21
2024-06-30 13,Mukkolakkal,2
2024-06-30 13,Postoffice Junction Parassala,42
2024-06-30 13,Civil Station Junction Kudappanakunnu,7
2024-06-30 13,Kesavadasapuram,6
2024-06-30 13,Vellarada,11
2024-06-30 13,Karakulam Post,6
2024-06-30 13,Enchappuri,1
2024-06-30 13,Pongode,2
2024-06-30 13,Mithrumala,1
2024-06-30 13,Chemmarathumukku,1
2024-06-30 13,Attingal,17
2024-06-30 13,Beema Pally,7
2024-06-30 13,Muthalapozhi Palam,1
2024-06-30 13,Porunthamon,2
2024-06-30 13,Amboori,3
2024-06-30 13,Pravachambalam,1
2024-06-30 13,Koduganoor,2
2024-06-30 13,Kayalkara,5
2024-06-30 13,Konkalam Junction,3
2024-06-30 13,Chowalloor,1
2024-06-30 12,Statue Sbi,387
2024-06-30 12,Punnamoodu,2
2024-06-30 12,East South Fort Bus Stand,379
2024-06-30 12,Attingal Bus Station,157
2024-06-30 12,Chellamagalam Panjayath,12
2024-06-30 12,Azhimala Temple,16
2024-06-30 12,Jagathy,21
2024-06-30 12,Anchamkallu,4
2024-06-30 12,Vavara Ambalam,1
2024-06-30 12,Puthiyathura Junction,27
2024-06-30 12,Murukkumon,7
2024-06-30 12,Nemom,89
2024-06-30 12,Vanchiyoor,3
2024-06-30 12,Korani Junction,38
2024-06-30 12,Koothali,2
2024-06-30 12,Thozhukkal,55
2024-06-30 12,Chappath,34
2024-06-30 12,Kallara Bus Stand,135
2024-06-30 12,Kottamukal,7
2024-06-30 12,Poojappura,4
2024-06-30 12,Ksrtc Bus Stand Kilimanoor,48
2024-06-30 12,Karette,87
2024-06-30 12,Arattukuzhi,7
2024-06-30 12,Ayoor,15
2024-06-30 12,Ponnara School,1
2024-06-30 12,Maruthankuzhi,17
2024-06-30 12,Njadoorkonam,29
2024-06-30 12,Poovar Bus Stand,133
2024-06-30 12,Venkavila Junction,15
2024-06-30 12,Chithara,6
2024-06-30 12,Pachalloor School,21
2024-06-30 12,Porunthamon,9
2024-06-30 12,Kodunganoor,23
2024-06-30 12,Kallayam,17
