DATE_HOUR,FROM_STOP_NAME,TOTAL_PASSENGER
2024-07-15 16,Chenkavila Junction,1
2024-07-15 16,Palayam Fine Arts College,7
2024-07-15 16,Uchakkada,1
2024-07-15 16,Thannimoodu,2
2024-07-15 16,Peroorkada,9
2024-07-15 16,Amaravila Check Post,1
2024-07-15 16,Pazhayakada,1
2024-07-15 15,Cheriyakolla,3
2024-07-15 15,Perunkadavila,6
2024-07-15 15,Ooruttambalam,6
2024-07-15 15,Chittazha,3
2024-07-15 15,Kattakada,22
2024-07-15 15,Kiliyoor,4
2024-07-15 15,Poovachal,4
2024-07-15 15,Peroorkada,16
2024-07-15 15,Chirayinkeezhu Bus Stand,6
2024-07-15 15,East Fort South Bus Stand,53
2024-07-15 15,Neyyattinkara,52
2024-07-15 15,Peyad,11
2024-07-15 15,Chakai,21
2024-07-15 15,Kadakkavoor,1
2024-07-15 15,Museum Public Office Complex,4
2024-07-15 15,East South Fort Bus Stand,22
2024-07-15 15,Karakonam,14
2024-07-15 15,Valiyathura Shangumugam,8
2024-07-15 15,Vedivechan Kovil,13
2024-07-15 15,Thannimoodu,7
2024-07-15 15,Chellamagalam Panjayath,2
2024-07-15 15,Oorambu,5
2024-07-15 15,Fort Hospital,5
2024-07-15 15,Pattoor Junction,19
2024-07-15 15,Muttakadu,3
2024-07-15 15,Nilamamoodu,5
2024-07-15 15,Avanavanchery,1
2024-07-15 15,Statue,20
2024-07-15 15,Kazhakkoottam,62
2024-07-15 15,Mamam,2
2024-07-15 15,East Mukkola,3
2024-07-15 15,Poovar Junction,19
2024-07-15 15,East Fort North Bus Stand,53
2024-07-15 15,Chemboor,2
2024-07-15 15,Nellimoodu Junction,4
2024-07-15 15,Balaramapuram,119
2024-07-15 15,Mukkola,12
2024-07-15 15,Postoffice Junction Parassala,58
2024-07-15 15,Neyyattinkara Bus Station,195
2024-07-15 15,Rotary,7
2024-07-15 15,Ambalam,1
2024-07-15 15,Thekkada Junction,1
2024-07-15 15,Venjarammoodu Depot,23
2024-07-15 15,Mananakku,3
2024-07-15 15,Attingal Bus Station,2
2024-07-15 15,Pmg,7
2024-07-15 15,Beema Pally,7
2024-07-15 15,Anad,1
2024-07-15 15,Chempazhanthy,3
2024-07-15 15,Kuzhivila,40
2024-07-15 15,Crpf Gate,3
2024-07-15 15,Peringammala,4
2024-07-15 15,Navacode Maranallur,5
2024-07-15 15,Kerala University,21
2024-07-15 15,Amaravila,2
2024-07-15 15,Konniyoor Junction,1
2024-07-15 15,World Market,39
2024-07-15 15,Vandanoor,2
2024-07-15 15,Nalanchira Main Gate,7
2024-07-15 15,Parassala,14
2024-07-15 15,Shangumukham Beach,8
2024-07-15 15,Pirappancode,1
2024-07-15 15,Pachalloor School,9
2024-07-15 15,Pattom Sut Hospital,1
2024-07-15 15,Karakulam Palam,2
2024-07-15 15,Pulimood,1
2024-07-15 15,Chathanoor Ksrtc Depot,1
2024-07-15 15,Puthanpalam,3
2024-07-15 15,Perumkadavila,2
2024-07-15 15,Nedumangad Bus Stand,153
2024-07-15 15,Shangumukham,4
2024-07-15 15,Vayalikada,10
2024-07-15 15,Pattoor,4
2024-07-15 15,Kumarichantha,2
2024-07-15 15,Mannanthala,2
2024-07-15 15,Vellaikadavu,1
2024-07-15 15,Kakkanam,1
2024-07-15 15,Olathanni Junction,2
2024-07-15 15,Channakara,2
2024-07-15 15,Kallambalam,3
2024-07-15 15,Kulathoor,1
2024-07-15 15,Nalamkallu,2
2024-07-15 15,Venganoor,3
2024-07-15 15,Marayamuttam,1
2024-07-15 15,Aruvikkara,1
2024-07-15 15,Vettukadu,1
2024-07-15 15,Cheruvallimukku,1
2024-07-15 15,Eruthavoor,2
2024-07-15 15,Palayam Fine Arts College,14
2024-07-15 15,Kseb Chakkai,19
2024-07-15 15,Murinjapalam,28
2024-07-15 15,Statue Bsnl,24
2024-07-15 15,Ulloor,26
2024-07-15 15,Pallichal Junction,5
2024-07-15 15,Civil Station Junction Kudappanakunnu,2
2024-07-15 15,Vizhinjam Bus Stand,33
2024-07-15 15,Anthiyoorkonam,2
2024-07-15 15,Vellarada Ksrtc Depot,2
2024-07-15 15,Mamapazhakkara,1
2024-07-15 15,Pappanamcode,93
2024-07-15 15,Kanjiramkulam,9
2024-07-15 15,Thiruvallam,30
2024-07-15 15,Karimancode,1
2024-07-15 15,Karakulam Panchayath,3
2024-07-15 15,Vembayam,19
2024-07-15 15,Jagathy,2
2024-07-15 15,Peroorkada Junction,11
2024-07-15 15,Madathara Bus Stand,2
2024-07-15 15,Panachamoodu,5
2024-07-15 15,Thozhukkal,19
2024-07-15 15,Dpi Junction,2
2024-07-15 15,Udiyankulangara,16
2024-07-15 15,Perumathura,3
2024-07-15 15,Chenkottukonam,4
2024-07-15 15,Thampanoor Main Bus Stand,566
2024-07-15 15,Sree Karyam,9
2024-07-15 15,Dhanuvachapuram Iti,2
2024-07-15 15,Karipur,2
2024-07-15 15,Puthukurichy Church,1
2024-07-15 15,Amaravila Check Post,1
2024-07-15 15,Statue Sbi,94
2024-07-15 15,Chullimanoor,5
2024-07-15 15,Maruthankuzhi,11
2024-07-15 15,Kottarakkari,1
2024-07-15 15,Pazhayakada Junction,2
2024-07-15 15,Maranalloor,5
2024-07-15 15,Kanjirampara,17
2024-07-15 15,Oottukuzhy,2
2024-07-15 15,Pallimukku,1
2024-07-15 15,Sn Nagar,11
2024-07-15 15,Poovar Bus Stand,45
2024-07-15 15,East Fort,34
2024-07-15 15,Ooruttambalam Ishalikkodu,3
2024-07-15 15,Kovalam Junction,6
2024-07-15 15,Venjarammoodu,8
2024-07-15 15,Kaniyapuram,13
2024-07-15 15,Parasuvaikkal,6
2024-07-15 15,Vellayambalam,29
2024-07-15 15,Malayinkeezh,7
2024-07-15 15,6th Stone,1
2024-07-15 15,Valiyavila,11
2024-07-15 15,Chenkavila Junction,1
2024-07-15 15,Vellanad Bus Stand,2
2024-07-15 15,Vazhamuttom,2
2024-07-15 15,Vellayambalam Elankim Devi,1
2024-07-15 15,Chappath,1
2024-07-15 15,Kamaleswaram,13
2024-07-15 15,Eliyavoor,1
2024-07-15 15,Athiyanoor,11
2024-07-15 15,6th Stone Vazhayila,2
2024-07-15 15,Cheru Vettukadu,1
2024-07-15 15,Puliyarakkonam,1
2024-07-15 15,East Fort Bus Stand,131
2024-07-15 15,Vithura Kalung Junction,1
2024-07-15 15,Nettayam,5
2024-07-15 15,Uchakkada,17
2024-07-15 15,Thoongampara,7
2024-07-15 15,Neeramankara,20
2024-07-15 15,Pattom Sut Office,26
2024-07-15 15,Valiyarathala,5
2024-07-15 15,Charummoodu,1
2024-07-15 15,Kollamkonam,1
2024-07-15 15,Mangalathukonam,1
2024-07-15 15,Killy,1
2024-07-15 15,Kuttichal,5
2024-07-15 15,Pothencode,29
2024-07-15 15,Karamana Junction,3
2024-07-15 15,Uriyacode,1
2024-07-15 15,Vattappara,3
2024-07-15 15,Kattakkada,145
2024-07-15 15,Kadinamkulam,1
2024-07-15 15,Vettinadu,2
2024-07-15 15,Sreekaryam Junction,19
2024-07-15 15,Kottiyam,5
2024-07-15 15,Kaliyakkavilai Bus Stand,43
2024-07-15 15,Nemom,28
2024-07-15 15,Perumkadavilla,2
2024-07-15 15,Vandithadam,10
2024-07-15 15,Amboori Hospital,1
2024-07-15 15,Koduganoor,1
2024-07-15 15,Parippally,3
2024-07-15 15,Puthiyathura Junction,3
2024-07-15 15,Pezhummoodu Junction,1
2024-07-15 15,Irumba,1
2024-07-15 15,28th Mile,1
2024-07-15 15,Azhikode,1
2024-07-15 15,Pozhiyoor,2
2024-07-15 15,Kochupally,4
2024-07-15 15,Ks Road Kovalam Junction,5
2024-07-15 15,Punnamoodu,4
2024-07-15 15,Mulluvengamood,1
2024-07-15 15,Mangalapuram,1
2024-07-15 15,Kallikadu A,3
2024-07-15 15,Kallumoodu,2
2024-07-15 15,Palukal,4
2024-07-15 14,Mukkola,45
2024-07-15 14,Parasuvaikkal,28
2024-07-15 14,Pamamcode,4
2024-07-15 14,Tholicode,6
2024-07-15 14,East Fort North Bus Stand,293
2024-07-15 14,Thannimoodu,24
2024-07-15 14,Oorittukala,1
2024-07-15 14,Karakonam,39
2024-07-15 14,Kochupally,12
2024-07-15 14,Palukal,8
2024-07-15 14,Kazhakkoottam,261
2024-07-15 14,Beema Pally,6
2024-07-15 14,Vedivechan Kovil,27
2024-07-15 14,Thiruvallam,35
2024-07-15 14,Sasthamangalam,6
2024-07-15 14,6th Stone,13
2024-07-15 14,Mangalathukonam,8
2024-07-15 14,Statue Bsnl,50
2024-07-15 14,Poovanathin Moodu,4
2024-07-15 14,Mulluvengamood,8
2024-07-15 14,Venjarammoodu Depot,140
2024-07-15 14,Mannanthala,10
2024-07-15 14,Chemparathumukku,2
2024-07-15 14,Ponnara School,2
2024-07-15 14,Chemboor,7
2024-07-15 14,Puthuveettumele,1
2024-07-15 14,Karamana Junction,53
2024-07-15 14,Kumarapuram,50
2024-07-15 14,Veli Church,1
2024-07-15 14,Vencode,1
2024-07-15 14,Dpi,24
2024-07-15 14,Vattappara,49
2024-07-15 14,Karakulam Palam,2
2024-07-15 14,Irinchayam Steps,3
2024-07-15 14,Murinjapalam,41
2024-07-15 14,Thampanoor,4
2024-07-15 14,East Fort Bus Stand,451
2024-07-15 14,Karyavattom University,2
2024-07-15 14,Panachamoodu,8
2024-07-15 14,Maranalloor,29
2024-07-15 14,Njadoorkonam,6
2024-07-15 14,Vandithadam,12
2024-07-15 14,Chanthavila,2
2024-07-15 14,Mottamoode,1
2024-07-15 14,Kovakode,1
2024-07-15 14,East South Fort Bus Stand,364
2024-07-15 14,Kadinamkulam,5
2024-07-15 14,Poozhikunnu,2
2024-07-15 14,Madathikonam,2
2024-07-15 14,Vithura Bus Station,10
2024-07-15 14,Balaramapuram,161
2024-07-15 14,Konchira,1
2024-07-15 14,Sreekaryam Junction,52
2024-07-15 14,Killy,11
2024-07-15 14,Gramattumukku,1
2024-07-15 14,Vithura Kalung Junction,22
2024-07-15 14,Poovar Bus Stand,54
2024-07-15 14,Ookkodu,2
2024-07-15 14,Neyyattinkara,272
2024-07-15 14,Udiyankulangara,39
2024-07-15 14,Vellayambalam Elankim Devi,2
2024-07-15 14,Vellanad,6
2024-07-15 14,Museum,2
2024-07-15 14,8th Stone,15
2024-07-15 14,Elavattom,2
2024-07-15 14,Seemamulamukku,1
2024-07-15 14,Nedumangad Bus Stand,412
2024-07-15 14,Ambalamukku,3
2024-07-15 14,Shangumukham,10
2024-07-15 14,Nanniyode,7
2024-07-15 14,Thirumala,30
2024-07-15 14,Padinjattumukku,2
2024-07-15 14,Valiyathura Shangumugam,12
2024-07-15 14,Chappath,16
2024-07-15 14,Marayamuttam Junction,2
2024-07-15 14,Marayamuttom,8
2024-07-15 14,Aruvattukonam Point,6
2024-07-15 14,Rotary,43
2024-07-15 14,Kaliyakkavilai Bus Stand,47
2024-07-15 14,Muttada,3
2024-07-15 14,Nettirachira,42
2024-07-15 14,Medical College Bus Stand,101
2024-07-15 14,Nagaroor,2
2024-07-15 14,Chenkal Junction,1
2024-07-15 14,Perunelli,5
2024-07-15 14,Thozhukkal,20
2024-07-15 14,Vembayam,36
2024-07-15 14,Thrikkannapuram,1
2024-07-15 14,Peyad,14
2024-07-15 14,Kovalam Junction,14
2024-07-15 14,Ulloor,103
2024-07-15 14,Peringammala,11
2024-07-15 14,Museum Public Office Complex,15
2024-07-15 14,Punchakkari,6
2024-07-15 14,10th Stone Patham Kallu,6
2024-07-15 14,Malarupara,1
2024-07-15 14,Puthanpalam,10
2024-07-15 14,Karakulam Panchayath Office,5
2024-07-15 14,Kallara,9
2024-07-15 14,Kaniyapuram,77
2024-07-15 14,Sainik School,7
2024-07-15 14,Thampanoor Ktdc Chaithram,25
2024-07-15 14,Kulathoor College,5
2024-07-15 14,Military Hospital Pangodu,11
2024-07-15 14,Chittazha,4
2024-07-15 14,Cherappally,1
2024-07-15 14,Kanjiramkulam,16
2024-07-15 14,Jagathy,17
2024-07-15 14,Aryanadu,19
2024-07-15 14,Nedumangadu,7
2024-07-15 14,East Fort,71
2024-07-15 14,6th Stone Vazhayila,3
2024-07-15 14,Alamcode,17
2024-07-15 14,Chullimanoor,22
2024-07-15 14,Kallikadu A,3
2024-07-15 14,Pattom Sut Office,163
2024-07-15 14,Mangalapuram,46
2024-07-15 14,Perumkadavilla,4
2024-07-15 14,Kattayikonam,7
2024-07-15 14,Kuttiyani,1
2024-07-15 14,Kuzhivila,115
2024-07-15 14,Vamanapuram Phc,5
2024-07-15 14,Nemom,65
2024-07-15 14,Sree Karyam,13
2024-07-15 14,Poovar Junction,20
2024-07-15 14,Kerala University,16
2024-07-15 14,Thozhikal,4
2024-07-15 14,East Fort South Stand 2,74
2024-07-15 14,Palayam Fine Arts College,33
2024-07-15 14,Mandapathinkadavu,5
2024-07-15 14,East Mukkola,3
2024-07-15 14,Karamana Jn,7
2024-07-15 14,Kulasekharam,2
2024-07-15 14,Kallayam,1
2024-07-15 14,Thampanoor Railway Station,1
2024-07-15 14,Mudavanmugal,2
2024-07-15 14,Dpi Junction,7
2024-07-15 14,Irumpa,1
2024-07-15 14,Vettukadu,8
2024-07-15 14,Maruthankuzhi,26
2024-07-15 14,Malayam,1
2024-07-15 14,Karakulam Keltron Junction,2
2024-07-15 14,Ootukuzhi,1
2024-07-15 14,Amaravila Check Post,1
2024-07-15 14,Amboori Hsptl,1
2024-07-15 14,Venjaramoodu Depot,5
2024-07-15 14,Karyavattom,5
2024-07-15 14,Maithani,1
2024-07-15 14,Mundela,4
2024-07-15 14,Valiyarathala,5
2024-07-15 14,Pozhiyoor Palam,7
2024-07-15 14,Plamottukkada Junction,1
2024-07-15 14,Melamcode,1
2024-07-15 14,Post Office Manivila,2
2024-07-15 14,Radio Station Monvila,8
2024-07-15 14,Venkavila Junction,3
2024-07-15 14,Mullassery,1
2024-07-15 14,Veli Lake,6
2024-07-15 14,Kailas Junction,3
2024-07-15 14,Easwara Vilasam Cotton Hill School,21
2024-07-15 14,Kunathkal,16
2024-07-15 14,Pullampara Palam,3
2024-07-15 14,Manavari,2
2024-07-15 14,Kesavadasapuram,6
2024-07-15 14,Anchuthengu,1
2024-07-15 14,Arappura,1
2024-07-15 14,Mariapuram Junction,3
2024-07-15 14,Peroorkada Depot,3
2024-07-15 14,Pattom Sut Hospital,1
2024-07-15 14,Kuttimoodu,6
2024-07-15 14,Pakaloor,3
2024-07-15 14,Mettukada,10
2024-07-15 14,Puthen Palam,2
2024-07-15 14,Kallumoodu,7
2024-07-15 14,Muttakkadu,4
2024-07-15 14,Vattapara,6
2024-07-15 14,Parippally,5
2024-07-15 14,Karakulam Post,1
2024-07-15 14,Nalamkallu,1
2024-07-15 14,Kowdiar,7
2024-07-15 14,Mottamoodu,3
2024-07-15 14,Vellaikadavu,1
2024-07-15 14,Chemmarathumukku,1
2024-07-15 14,Panayamuttam,1
2024-07-15 14,Konkalam Junction,1
2024-07-15 14,Karamana Prs,4
2024-07-15 14,Iruloor,1
2024-07-15 14,Puliyarakkonam,2
2024-07-15 14,Chavadi Junction,1
2024-07-15 14,10th Stone,2
2024-07-15 14,Mannaram,3
2024-07-15 14,Meenankal,1
2024-07-15 14,Vlathankara,3
2024-07-15 14,Bounder Junction,1
2024-07-15 14,Madathara,3
2024-07-15 14,Mylamoodu,1
2024-07-15 14,Vazhamuttom,5
2024-07-15 14,Charummoodu,7
2024-07-15 14,Pattoor Junction,44
2024-07-15 14,Manakala,1
2024-07-15 14,Vizhinjam Bus Stand,94
2024-07-15 14,Karette,25
2024-07-15 14,Vayalikada,6
2024-07-15 14,Kalliyoor Grama Panchayath Office,1
2024-07-15 14,Kumarichantha,2
2024-07-15 14,East Fort South Bus Stand,126
2024-07-15 14,Neyyattinkara Bus Station,413
2024-07-15 14,Koithoorkonam,3
2024-07-15 14,Pappanamcode Ksrtc Depot,11
2024-07-15 14,Sankaramugham School,1
2024-07-15 14,Thozhukal,9
2024-07-15 14,Pallimukku,12
2024-07-15 14,Olathanni Junction,5
2024-07-15 14,Kalliyodu,18
2024-07-15 14,Kanjirampara,57
2024-07-15 14,Kuttichal,10
2024-07-15 14,Santhivila Junction,3
2024-07-15 14,Aryanad,14
2024-07-15 14,St Andrews,1
2024-07-15 14,Cheriyakolla,9
2024-07-15 14,Kamaleswaram,34
2024-07-15 14,Perumkadavila,10
2024-07-15 14,Paliyode,1
2024-07-15 14,Anad,7
2024-07-15 14,Nalanchira Main Gate,13
2024-07-15 14,Koliyacode,3
2024-07-15 14,16th Mile,7
2024-07-15 14,Santhivila,3
2024-07-15 14,Vellarada Ksrtc Depot,45
2024-07-15 14,Thampanoor Bus Stand,61
2024-07-15 14,Parassala,61
2024-07-15 14,Karakulam Panchayath,3
2024-07-15 14,Nedumangad,59
2024-07-15 14,Kattakkada,332
2024-07-15 14,Kachani Junction,14
2024-07-15 14,Palode,44
2024-07-15 14,Anthiyoorkonam,3
2024-07-15 14,Madapathinkadavu,5
2024-07-15 14,Nettayam,44
2024-07-15 14,Nilamel,4
2024-07-15 14,Uchakkada,37
2024-07-15 14,Kattadimukku,2
2024-07-15 14,Vellanad Bus Stand,30
2024-07-15 14,Athiyanoor,33
2024-07-15 14,Pangappara,9
2024-07-15 14,Malayinkeezh,24
2024-07-15 14,Chenkottukonam,7
2024-07-15 14,Ooruttambalam,16
2024-07-15 14,Shangumukham Beach,14
2024-07-15 14,Pallichal Junction,21
2024-07-15 14,Lms Corporation Office,15
2024-07-15 14,Pappanamcode,117
2024-07-15 14,Thampanoor Main Bus Stand,753
2024-07-15 14,Statue Sbi,264
2024-07-15 14,Amaravila,10
2024-07-15 14,Attingal Bus Station,47
2024-07-15 14,Paruthikkuzhy,3
2024-07-15 14,Ottasekharamangalam,9
2024-07-15 14,Arumanior Junction,3
2024-07-15 14,Murukkumpuzha,20
2024-07-15 14,Pulimood,1
2024-07-15 14,Vellayambalam,114
2024-07-15 14,Neeramankara,26
2024-07-15 14,Valiyavila,25
2024-07-15 14,Pirappancode,14
2024-07-15 14,Statue,90
2024-07-15 14,Peroorkada,52
2024-07-15 14,Pmg,10
2024-07-15 14,Puthiyathura Junction,30
2024-07-15 14,Peroorkada Junction,34
2024-07-15 14,Paraniyam,7
2024-07-15 14,Vyasa Vidhyalayam Karakonam,5
2024-07-15 14,Kollaperuvazhi,3
2024-07-15 14,Azhikode,6
2024-07-15 14,Sn Nagar,54
2024-07-15 14,Punnamoodu,11
2024-07-15 14,Channakara,1
2024-07-15 14,Korani Junction,4
2024-07-15 14,Kseb Chakkai,34
2024-07-15 14,Velavoor,2
2024-07-15 14,Poovar,3
2024-07-15 14,Chellamagalam Panjayath,3
2024-07-15 14,Pattoor,29
2024-07-15 14,Andoorkonam Hospital,2
2024-07-15 14,Pothencode,126
2024-07-15 14,Shangummukkam,1
2024-07-15 14,World Market,102
2024-07-15 14,Poovachal,5
2024-07-15 14,Vizhinjam Junction,4
2024-07-15 14,Pulinkudy,21
2024-07-15 14,Palayam Saphalyam,3
2024-07-15 14,Oorambu,9
2024-07-15 14,Chakai,34
2024-07-15 14,Thoongampara,20
2024-07-15 14,Vellanchira,12
2024-07-15 14,Pazhayakada Junction,6
2024-07-15 14,Koottappara,2
2024-07-15 14,Thottumukku,10
2024-07-15 14,Nilamamoodu,19
2024-07-15 14,Karikkakom Vayanasala,3
2024-07-15 14,Venkulam,3
2024-07-15 14,Postoffice Junction Parassala,35
2024-07-15 14,Eruthavoor,1
2024-07-15 14,Venganoor,17
2024-07-15 14,Saraswathy Vidyalaya School,2
2024-07-15 14,Jawahar Colony Thiruvananthapuram,1
2024-07-15 14,Kulathoor,3
2024-07-15 14,Mamam,2
2024-07-15 14,Attingal,10
2024-07-15 14,Kottamukal,2
2024-07-15 14,Scooter Factory,8
2024-07-15 14,Aryancode,2
2024-07-15 14,Dhanuvachapuram Iti,2
2024-07-15 14,Kamukincode,2
2024-07-15 14,Uriyacode Junction,2
2024-07-15 14,Avanavanchery,3
2024-07-15 14,Thekkada Junction,2
2024-07-15 14,Chirayinkeezhu Bus Stand,8
2024-07-15 14,Karipur,4
2024-07-15 14,Kattakada,47
2024-07-15 14,Elavupalam,2
2024-07-15 14,Paruthippara,3
2024-07-15 14,Cherapplly,1
2024-07-15 14,Pezhummoodu Junction,1
2024-07-15 14,Changa Junction,1
2024-07-15 14,Mangalapuram East,23
2024-07-15 14,Medical College Thiruvananthapuram,18
2024-07-15 14,Kallara Bus Stand,11
2024-07-15 14,Navacode Maranallur,5
2024-07-15 14,Pachalloor School,7
2024-07-15 14,Vettuthura,4
2024-07-15 14,Kollamkonam,4
2024-07-15 14,Vettinadu,3
2024-07-15 14,Ooramb,1
2024-07-15 14,Killipalam,1
2024-07-15 14,Konniyoor Junction,4
2024-07-15 14,Aiyroopara,5
2024-07-15 14,Government Lp School Marayamuttom,1
2024-07-15 14,Nellimoodu Junction,8
2024-07-15 14,Mannamkonam,2
2024-07-15 14,Chempazhanthy,4
2024-07-15 14,Panangodu Junction,2
2024-07-15 14,Perumkuzhi,1
2024-07-15 14,Valiyashala Mahadeva Temple,1
2024-07-15 14,Aruvikkara,7
2024-07-15 14,Chempoor Junction,9
2024-07-15 14,Kallambalam,5
2024-07-15 14,Eliyavoor,2
2024-07-15 14,Perumathura,13
2024-07-15 14,Vandannur,5
2024-07-15 14,Perekonam,3
2024-07-15 14,Malayinkeezhu,3
2024-07-15 14,Changa,1
2024-07-15 14,Peringammala Market Junction,2
2024-07-15 14,Ks Road Kovalam Junction,4
2024-07-15 14,Titanium,1
2024-07-15 14,Puthukurichy Church,6
2024-07-15 14,Crpf Gate,14
2024-07-15 14,Mithrumala,2
2024-07-15 14,Kavinpuram,1
2024-07-15 14,Mavilakadavu,1
2024-07-15 14,Puthukurichi Post Office,2
2024-07-15 14,Jawaharcolony,1
2024-07-15 14,Villant,1
2024-07-15 14,Koppam,1
2024-07-15 14,Mottakkavu,1
2024-07-15 14,Chenkavila Junction,1
2024-07-15 14,Anappara,1
2024-07-15 14,Kiliyoor,1
2024-07-15 14,Ayoor,7
2024-07-15 14,Ottashekaramandapam,1
2024-07-15 14,Civil Station Junction Kudappanakunnu,1
2024-07-15 14,Mangalakkal,1
2024-07-15 14,Muthalapozhi Palam,2
2024-07-15 14,Thakaraparambu,1
2024-07-15 14,Chowara Temple,1
2024-07-15 13,Kaliyakkavilai Bus Stand,132
2024-07-15 13,Thozhukkal,28
2024-07-15 13,Mylamoodu,13
2024-07-15 13,Killy,16
2024-07-15 13,Koottappu,6
2024-07-15 13,Mangalathukonam,23
2024-07-15 13,Pallichal,5
2024-07-15 13,Chozhiyakode,1
2024-07-15 13,Vencode,5
2024-07-15 13,Irinchayam Steps,10
2024-07-15 13,Plamottukkada Junction,3
2024-07-15 13,Arappura,7
2024-07-15 13,Pallimukku,18
2024-07-15 13,East Fort,37
2024-07-15 13,Nanniyode,12
2024-07-15 13,Nedumangad,159
2024-07-15 13,Easwara Vilasam Cotton Hill School,56
2024-07-15 13,Perunelli,4
2024-07-15 13,Vazhayila Paalam,1
2024-07-15 13,Nellimoodu Junction,49
2024-07-15 13,Pamamcode,10
2024-07-15 13,Porunthamon,5
2024-07-15 13,Sasthamangalam,10
2024-07-15 13,Devaswom Board,5
2024-07-15 13,Shangumukham Beach,53
2024-07-15 13,Mannanthala Junction,14
2024-07-15 13,Venkavila Junction,4
2024-07-15 13,Thampanoor Ktdc Chaithram,23
2024-07-15 13,Vellarada Ksrtc Depot,117
2024-07-15 13,Kulathoor,27
2024-07-15 13,Arattukuzhi,3
2024-07-15 13,Karakulam Post,4
2024-07-15 13,Kuttiyani Lps,1
2024-07-15 13,Mottamoodu,21
2024-07-15 13,Kanjirampara Junction,7
2024-07-15 13,Poovanathin Moodu,4
2024-07-15 13,Kamukincode,7
2024-07-15 13,Pattom Sut Hospital,5
2024-07-15 13,Karette,146
2024-07-15 13,Athiyannur,4
2024-07-15 13,Paippinmoodu,21
2024-07-15 13,Pattom Sut Office,389
2024-07-15 13,Vellanchira,15
2024-07-15 13,Vithura Kalungu,2
2024-07-15 13,Ooruttambalam,39
2024-07-15 13,Karakonam,68
2024-07-15 13,Seematty,5
2024-07-15 13,Nanniyodu,1
2024-07-15 13,Punnamoodu,25
2024-07-15 13,Kalliyoor Grama Panchayath Office,6
2024-07-15 13,Nilamel,31
2024-07-15 13,Aruvikkara Dam,1
2024-07-15 13,Athiyanoor,98
2024-07-15 13,Murukkumpuzha,28
2024-07-15 13,Mannamkonam,6
2024-07-15 13,Koduganoor,7
2024-07-15 13,Sree Karyam,56
2024-07-15 13,Ookkodu,9
2024-07-15 13,Karyavattom University,32
2024-07-15 13,Thannimoodu,72
2024-07-15 13,Vandithadam,43
2024-07-15 13,General Hospital Trivandrum,5
2024-07-15 13,Military Hospital Pangodu,27
2024-07-15 13,Thottumukku,4
2024-07-15 13,Vavarambalam,13
2024-07-15 13,Chempazhanthy,5
2024-07-15 13,Ksrtc Bus Stand Kilimanoor,19
2024-07-15 13,Vellayambalam,177
2024-07-15 13,Chenkottukonam Astlramam Swamiyar Madam,2
2024-07-15 13,Peroorkada Depot,93
2024-07-15 13,Cheriyakolla,27
2024-07-15 13,Olathanni Junction,12
2024-07-15 13,Maruthankuzhi,17
2024-07-15 13,Amaravila Check Post,8
2024-07-15 13,Anthiyoorkonam,7
2024-07-15 13,Nilamamoodu,26
